id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-heart;fa-heart css class;fa-heart
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-heart-o;fa-heart-o css class;fa-heart-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-home;fa-home css class;fa-home
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-inbox;fa-inbox css class;fa-inbox
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-info;fa-info css class;fa-info
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-info-circle;fa-info-circle css class;fa-info-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-key;fa-key css class;fa-key
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-keyboard-o;fa-keyboard-o css class;fa-keyboard-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-laptop;fa-laptop css class;fa-laptop
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-leaf;fa-leaf css class;fa-leaf
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-legal;fa-legal css class;fa-legal
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-lemon-o;fa-lemon-o css class;fa-lemon-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-level-down;fa-level-down css class;fa-level-down
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-level-up;fa-level-up css class;fa-level-up
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-lightbulb-o;fa-lightbulb-o css class;fa-lightbulb-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-location-arrow;fa-location-arrow css class;fa-location-arrow
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-lock;fa-lock css class;fa-lock
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-magic;fa-magic css class;fa-magic
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-magnet;fa-magnet css class;fa-magnet
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-mail-forward;fa-mail-forward css class;fa-mail-forward
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-mail-reply;fa-mail-reply css class;fa-mail-reply
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-mail-reply-all;fa-mail-reply-all css class;fa-mail-reply-all
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-male;fa-male css class;fa-male
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-map-marker;fa-map-marker css class;fa-map-marker
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-meh-o;fa-meh-o css class;fa-meh-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-microphone;fa-microphone css class;fa-microphone
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-microphone-slash;fa-microphone-slash css class;fa-microphone-slash
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-minus;fa-minus css class;fa-minus
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-minus-circle;fa-minus-circle css class;fa-minus-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-minus-square;fa-minus-square css class;fa-minus-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-minus-square-o;fa-minus-square-o css class;fa-minus-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-mobile;fa-mobile css class;fa-mobile
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-mobile-phone;fa-mobile-phone css class;fa-mobile-phone
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-money;fa-money css class;fa-money
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-moon-o;fa-moon-o css class;fa-moon-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-music;fa-music css class;fa-music
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-pencil;fa-pencil css class;fa-pencil
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-pencil-square;fa-pencil-square css class;fa-pencil-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-pencil-square-o;fa-pencil-square-o css class;fa-pencil-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-phone;fa-phone css class;fa-phone
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-phone-square;fa-phone-square css class;fa-phone-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-picture-o;fa-picture-o css class;fa-picture-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plane;fa-plane css class;fa-plane
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plus;fa-plus css class;fa-plus
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plus-circle;fa-plus-circle css class;fa-plus-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plus-square;fa-plus-square css class;fa-plus-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-power-off;fa-power-off css class;fa-power-off
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-print;fa-print css class;fa-print
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-puzzle-piece;fa-puzzle-piece css class;fa-puzzle-piece
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-qrcode;fa-qrcode css class;fa-qrcode
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-question;fa-question css class;fa-question
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-question-circle;fa-question-circle css class;fa-question-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-quote-left;fa-quote-left css class;fa-quote-left
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-quote-right;fa-quote-right css class;fa-quote-right
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-random;fa-random css class;fa-random
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-refresh;fa-refresh css class;fa-refresh
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-reply;fa-reply css class;fa-reply
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-reply-all;fa-reply-all css class;fa-reply-all
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-retweet;fa-retweet css class;fa-retweet
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-road;fa-road css class;fa-road
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-rocket;fa-rocket css class;fa-rocket
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-rss;fa-rss css class;fa-rss
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-rss-square;fa-rss-square css class;fa-rss-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-search;fa-search css class;fa-search
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-search-minus;fa-search-minus css class;fa-search-minus
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-search-plus;fa-search-plus css class;fa-search-plus
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-share;fa-share css class;fa-share
